         1511993 function calls (1485993 primitive calls) in 15.543 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     19/4    0.052    0.003   15.347    3.837 backend_agg.py:206(get_text_width_height_descent)
     57/2    0.000    0.000   15.323    7.661 text.py:926(get_window_extent)
    112/2    0.002    0.000   15.321    7.661 text.py:358(_get_layout)
    250/5   14.571    0.058   14.778    2.956 text.py:65(_get_text_metrics_with_cache)
       38    0.001    0.000    0.833    0.022 __init__.py:1(<module>)
   397/11    0.002    0.000    0.589    0.054 <frozen importlib._bootstrap>:1349(_find_and_load)
   393/11    0.001    0.000    0.589    0.054 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   377/12    0.001    0.000    0.588    0.049 <frozen importlib._bootstrap>:911(_load_unlocked)
   319/11    0.001    0.000    0.588    0.053 <frozen importlib._bootstrap_external>:1016(exec_module)
   909/19    0.003    0.000    0.588    0.031 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.541    0.541 nbody_cython.py:1(<module>)
   435/23    0.000    0.000    0.524    0.023 {built-in method builtins.__import__}
  455/112    0.001    0.000    0.484    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.424    0.424 plot.py:1(<module>)
        1    0.000    0.000    0.315    0.315 pyplot.py:1(<module>)
1198/1111    0.026    0.000    0.281    0.000 {built-in method builtins.__build_class__}
      106    0.002    0.000    0.198    0.002 artist.py:158(_update_set_signature_and_docstring)
      105    0.000    0.000    0.195    0.002 artist.py:125(__init_subclass__)
        1    0.000    0.000    0.156    0.156 figure.py:1(<module>)
      120    0.000    0.000    0.155    0.001 artist.py:1832(kwdoc)
      120    0.003    0.000    0.131    0.001 artist.py:1593(pprint_setters)
        1    0.000    0.000    0.123    0.123 colorbar.py:1(<module>)
        1    0.000    0.000    0.118    0.118 plot.py:4(prep_figure)
        2    0.000    0.000    0.117    0.059 pyplot.py:1381(subplot)
     4409    0.008    0.000    0.106    0.000 artist.py:1461(get_valid_values)
       17    0.000    0.000    0.100    0.006 pyplot.py:1095(gcf)
        4    0.000    0.000    0.100    0.025 pyplot.py:872(figure)
        1    0.000    0.000    0.100    0.100 pyplot.py:549(new_figure_manager)
     11/3    0.000    0.000    0.087    0.029 text.py:73(_get_text_metrics_with_cache_impl)
     7554    0.047    0.000    0.085    0.000 inspect.py:891(cleandoc)
        1    0.000    0.000    0.075    0.075 contour.py:1(<module>)
     7512    0.004    0.000    0.073    0.000 inspect.py:872(getdoc)
        1    0.000    0.000    0.070    0.070 backend_bases.py:1(<module>)
        1    0.000    0.000    0.063    0.063 text.py:1(<module>)
       13    0.000    0.000    0.061    0.005 collections.py:1014(draw)
