         1570618 function calls (1544761 primitive calls) in 62.714 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     19/4    0.077    0.004   62.442   15.611 backend_agg.py:206(get_text_width_height_descent)
     57/2    0.001    0.000   62.403   31.202 text.py:926(get_window_extent)
    112/2    0.003    0.000   62.402   31.201 text.py:358(_get_layout)
    250/5    0.534    0.002   61.883   12.377 text.py:65(_get_text_metrics_with_cache)
     1001   39.914    0.040   39.951    0.040 nbody_original.py:15(getAcc)
     1001   18.685    0.019   21.075    0.021 nbody_original.py:48(getEnergy)
     1001    1.502    0.002    1.760    0.002 _twodim_base_impl.py:497(triu)
       36    0.001    0.000    0.716    0.020 __init__.py:1(<module>)
     4004    0.016    0.000    0.627    0.000 fromnumeric.py:2338(sum)
     4438    0.021    0.000    0.609    0.000 fromnumeric.py:69(_wrapreduction)
   388/10    0.002    0.000    0.598    0.060 <frozen importlib._bootstrap>:1349(_find_and_load)
   385/10    0.001    0.000    0.597    0.060 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   368/11    0.001    0.000    0.597    0.054 <frozen importlib._bootstrap>:911(_load_unlocked)
   312/10    0.001    0.000    0.596    0.060 <frozen importlib._bootstrap_external>:1016(exec_module)
   888/17    0.005    0.000    0.596    0.035 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     5882    0.574    0.000    0.574    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.517    0.517 nbody_original.py:1(<module>)
   432/23    0.000    0.000    0.510    0.022 {built-in method builtins.__import__}
  452/112    0.001    0.000    0.466    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.436    0.436 plot.py:1(<module>)
        1    0.000    0.000    0.320    0.320 pyplot.py:1(<module>)
1173/1086    0.011    0.000    0.274    0.000 {built-in method builtins.__build_class__}
     1001    0.008    0.000    0.255    0.000 _twodim_base_impl.py:376(tri)
     1261    0.231    0.000    0.231    0.000 {method 'outer' of 'numpy.ufunc' objects}
      106    0.002    0.000    0.202    0.002 artist.py:158(_update_set_signature_and_docstring)
      105    0.000    0.000    0.199    0.002 artist.py:125(__init_subclass__)
     11/3    0.000    0.000    0.165    0.055 text.py:73(_get_text_metrics_with_cache_impl)
      120    0.000    0.000    0.158    0.001 artist.py:1832(kwdoc)
        1    0.000    0.000    0.158    0.158 figure.py:1(<module>)
