cuda
Execution time: 3.6003365516662598 seconds
         2518875 function calls (2475024 primitive calls) in 7.201 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      174    0.008    0.000    4.646    0.027 __init__.py:1(<module>)
       12    0.000    0.000    1.823    0.152 _jit_internal.py:1025(_overload)
     1001    0.774    0.001    1.653    0.002 nbody_pytorch.py:36(get_energy)
     1001    0.950    0.001    1.369    0.001 nbody_pytorch.py:7(get_acc)
        1    0.000    0.000    0.937    0.937 plot.py:1(<module>)
3005/2887    0.048    0.000    0.808    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.759    0.759 pyplot.py:1(<module>)
   101/66    0.007    0.000    0.704    0.011 _ops.py:279(py_impl)
 1084/992    0.002    0.000    0.674    0.001 <frozen importlib._bootstrap>:806(module_from_spec)
     11/9    0.000    0.000    0.645    0.072 <frozen importlib._bootstrap_external>:1318(create_module)
     11/9    0.537    0.049    0.645    0.072 {built-in method _imp.create_dynamic}
     10/8    0.000    0.000    0.519    0.065 _ops.py:147(py_functionalize_impl)
      106    0.006    0.000    0.507    0.005 artist.py:158(_update_set_signature_and_docstring)
      105    0.001    0.000    0.501    0.005 artist.py:125(__init_subclass__)
      120    0.001    0.000    0.408    0.003 artist.py:1832(kwdoc)
     9009    0.015    0.000    0.397    0.000 _tensor.py:33(wrapped)
        1    0.000    0.000    0.354    0.354 figure.py:1(<module>)
        1    0.000    0.000    0.325    0.325 colorbar.py:1(<module>)
      120    0.008    0.000    0.299    0.002 artist.py:1593(pprint_setters)
     8008    0.286    0.000    0.286    0.000 {method 'pow' of 'torch._C.TensorBase' objects}
      113    0.002    0.000    0.276    0.002 custom_ops.py:158(__init__)
      113    0.000    0.000    0.271    0.002 custom_ops.py:559(_register_to_dispatcher)
     4409    0.021    0.000    0.238    0.000 artist.py:1461(get_valid_values)
        4    0.000    0.000    0.215    0.054 functional.py:1(<module>)
       10    0.000    0.000    0.213    0.021 linear.py:1(<module>)
     2002    0.210    0.000    0.210    0.000 {built-in method torch.where}
     1032    0.011    0.000    0.209    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
       21    0.000    0.000    0.203    0.010 collections.py:1014(draw)
       21    0.202    0.010    0.202    0.010 collections.py:352(draw)
